id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
178,4,8,AMD Ryzen 5 PRO 2400GE with Radeon Vega 11 Graphics,5/10/2018,14,3200,3800,384,2048,4096,35,AMD Ryzen 5 PRO Desktop Processors with Radeon Vega Graphics,AM4,DDR4,https://www.amd.com/en/product/7786,Desktop,95,2933,7786
179,4,4,AMD Ryzen 3 PRO 1300,06/29/2017,14,3500,3700,384,2048,8192,65,AMD Ryzen 3 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2031,Desktop,95,2667,2031
180,4,8,AMD Ryzen 5 PRO 2500U,Q1 2019,14,2000,3600,384,2048,4096,15,AMD Ryzen 5 PRO Mobile Processors with Radeon Vega Graphics,FP5,DDR4,https://www.amd.com/en/product/7211,Laptop,95,2400,7211
181,4,4,AMD Ryzen 3 PRO 2200G with Radeon Vega 8 Graphics,5/10/2018,14,3500,3700,384,2048,4096,65,AMD Ryzen 3 PRO Desktop Processors with Radeon Vega Graphics,AM4,,https://www.amd.com/en/product/7776,Desktop,95,2933,7776
182,4,4,AMD Ryzen 3 PRO 2200GE with Radeon Vega 8 Graphics,5/10/2018,14,3200,3600,384,2048,4096,35,AMD Ryzen 3 PRO Desktop Processors with Radeon Vega Graphics,AM4,DDR4,https://www.amd.com/en/product/7781,Desktop,95,2933,7781
183,4,4,AMD Ryzen 3 PRO 1200,06/29/2017,14,3100,3400,384,2048,8192,65,AMD Ryzen 3 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2036,Desktop,95,2667,2036
184,4,4,AMD Ryzen 3 PRO 2300U,Q1 2019,14,2000,3400,384,2048,4096,15,AMD Ryzen 3 PRO Mobile Processors with Radeon Vega Graphics,FP5,DDR4,https://www.amd.com/en/product/7216,Laptop,95,2400,7216
185,2,,7th Gen AMD PRO A4-5350B APU,Q1 2020,28,3000,3600,,1024,,15,AMD PRO A-Series A4 APU for Laptops,,DDR4,https://www.amd.com/en/product/9436,Laptop,90,2133,9436
186,2,,7th Gen AMD PRO A4-4350B APU,Q1 2018,28,2500,2900,,1024,,15,AMD PRO A-Series A4 APU for Laptops,,DDR4,https://www.amd.com/en/product/7491,Laptop,90,2133,7491
187,2,,7th Gen AMD PRO A6-8350B APU,Q1 2020,28,3100,3700,,1024,,15,AMD PRO A-Series A6 APU for Laptops,,DDR4,https://www.amd.com/en/product/9431,Laptop,90,2133,9431
188,2,,7th Gen AMD PRO A6-7350B APU,Q1 2018,28,3000,3600,,1024,,15,AMD PRO A-Series A6 APU for Laptops,,DDR4,https://www.amd.com/en/product/7496,Laptop,90,2133,7496
189,4,,7th Gen A12-9800 APU,"Channel: 7/27/2017, OEM: 9/5/2016",28,3800,4200,,2048,,65,AMD A12-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2121,Boxed Processor,90,2400,2121
190,4,,7th Gen A12-9800E APU,9/5/2016,28,3100,3800,,2048,,35,AMD A12-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2116,Boxed Processor,90,2400,2116
191,4,,7th Gen A10-9700 APU,"Channel: 7/27/2017, OEM: 9/5/2016",28,3500,3800,,2048,,65,AMD A10-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2111,Boxed Processor,90,2400,2111
192,4,,7th Gen A10-9700E APU,9/5/2016,28,3000,3500,,2048,,35,AMD A10-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2106,Boxed Processor,90,2400,2106
193,4,,7th Gen A8-9600 APU,"Channel: 7/27/2017, OEM: 9/5/2016",28,3100,3400,,2048,,65,AMD A8-Series APU for Desktops,AM4,DDR4,https://www.amd.com/en/product/2101,Boxed Processor,90,2400,2101
